class,length,DB,early1,early2,early3,mid1,mid2,mid3,late1,late2,late3,stat1,stat2,stat3,pH 5.5 1,pH 5.5 2,pH 5.5 3,pH 6 1,pH 6 2,pH 6 3,pH 7 1,pH 7 2,pH 7 3,pH 7.5 1,pH 7.5 2,pH 7.5 3,13C 1,13C 2,13C 3,20C 1,20C 2,20C 3,NaCl 0.05 1,NaCl 0.05 2,NaCl 0.05 3,NaCl 0.1 1,NaCl 0.1 2,NaCl 0.1 3,MetOH 0.1 1,MetOH 0.1 2,MetOH 0.1 3,MetOH 1 1,MetOH 1 2,MetOH 1 3,TX 0.05 1,TX 0.05 2,TX 0.05 3,TX 0.1 1,TX 0.1 2,TX 0.1 3
PC [32:1],32,1,0.350692159,0.352322952,0.365881362,0.338464286,0.322584262,0.341993265,0.419351021,0.415318831,0.45664721,0.555893704,0.482714483,0.508853125,0.189395957,0.146070496,0.214664043,0.179417472,0.150224945,0.227393601,0.085982092,0.138975823,0.193057496,0.042652966,0.081175848,0.08040614,0.024194075,0.033292421,0.046537814,0.046370335,0.037379618,0.03414309,0.144120545,0.036876805,0.128007109,0.151395413,0.157762641,0.152951672,0.10878625,0.093501167,0.141622531,0.140764079,0.119422472,0.123715386,0.151276313,0.166405441,0.14177794,0.151285659,0.191801695,0.154065432
PC [32:2],32,2,0.242688412,0.24132802,0.263052411,0.22600964,0.219298832,0.254786126,0.260382674,0.263571251,0.344854213,0.292403254,0.237075668,0.252930043,0.588096407,0.736637531,0.696649043,0.522950246,0.47372264,0.665488795,0.465338445,0.485146245,0.392040743,0.302736925,0.276883848,0.278611001,0.589899895,0.555302395,0.550118773,0.530336618,0.545228619,0.574278665,0.709701641,0.674151416,0.519945023,0.597813713,0.6059709,0.570162751,0.548577568,0.530440366,0.551052095,0.77438751,0.772199799,0.644282351,0,0.868739301,0.655470239,1.008697727,1.250366946,0.769987832
PC [34:1],34,1,0.79896866,0.780874116,0.814047509,0.76811231,0.767717486,0.747483458,0.73629208,0.769686418,0.792789217,1.344700966,1.32785369,1.360494211,1.419126262,1.528140083,1.501932314,1.09608655,1.093931816,1.659048299,0.994105665,0.967052504,0.907439037,0.524322557,0.557469668,0.508780123,0.209711058,0.224200025,0.223245816,0.269032866,0.269832912,0.276946813,0.808869322,0.738931512,0.850970285,0.760038747,0.758262685,0.742443403,0.863496374,0.808497059,0.819132085,0.870110786,0.833769826,0.846053538,0.879847176,0.841297053,0.805538502,0.833013198,1.029023894,0.836739241
PC [34:2],34,2,2.337791445,2.353566549,2.498143398,2.527886746,2.529504194,2.575150627,2.521816048,2.340498791,2.391543731,3.109217056,2.989963041,3.051840788,2.848264969,2.869419202,2.978509078,2.827905683,2.762429657,4.079155638,2.884365988,2.979345477,2.880986528,2.196917557,2.349817971,2.28187381,1.740476244,1.803162091,1.830247326,1.817345954,1.889164168,1.860433594,3.061777041,3.153403378,3.247873785,3.629356386,3.75776123,3.652198536,2.922826999,2.933967715,3.08599635,2.859054635,2.852549758,2.768824996,3.183854231,3.39107948,3.089603393,3.371726118,4.358458954,3.400432774
PC [34:3],34,3,3.008624094,2.318065488,2.420083081,2.271504225,2.212439141,2.58022453,2.780357173,2.804556876,3.19816212,2.035335055,1.564025197,1.595771208,3.679011597,4.42856685,4.411338974,4.111250336,3.858944326,5.450523085,4.376684715,4.984321259,3.796945892,4.551113602,4.098439145,3.883066976,13.96635077,13.52121331,12.95179253,14.53030763,13.89780776,14.5552446,8.102703224,7.671675527,6.139223349,6.085816421,6.481324598,5.978445388,5.771020975,5.565230119,6.005545716,6.699008341,6.950583479,6.09488151,0.996124105,9.310869389,7.023103937,10.7385472,13.91926624,8.371447293
PC [34:4],34,4,0,0,0,0,0,0.004104833,0,0,0,0,0,0,0.007913506,0.005465519,0.016582442,0.015297354,0.010703405,0.013572883,0,0,0.006889402,0.008488767,0.025032895,0.011353661,3.271447573,3.151443881,3.075090535,1.587365867,1.477216116,1.555503259,0.012801562,0,0.010276365,0.013927304,0.009499116,0.013459246,0.014702192,0.013627723,0.04249178,0.017060724,0.020453179,0.014719331,0.005345929,0.018682461,0.008579161,0.00592838,0.01405252,0.006625404
PC [36:2],36,2,11.48533395,11.7879348,11.66138,12.14694565,12.01933705,11.92356282,11.58516216,11.54045738,11.37039482,15.00105806,15.0876042,14.9744218,12.51819688,12.2918095,12.72810182,12.86030927,12.56126529,18.5788659,13.00407647,12.84704995,12.62939608,10.21843829,11.45125106,10.96384621,7.926339304,8.145856956,8.127765888,10.33840949,10.60363398,10.33652168,11.86726994,11.95711335,12.30063201,11.29684561,11.5537041,11.49614349,12.76183259,12.83537259,12.90405693,10.87947016,10.58200234,11.0836417,13.08329828,12.39404101,12.21687461,11.84128926,15.44787441,12.18646828
PC [36:3],36,3,0,0.019677993,0.037957146,0.051382158,0.031403433,0.042252053,0.031053681,0.007805528,,0.023118021,0.035107632,0.048522831,0.083375802,0.042433489,0.097025868,0.086799338,0.073525561,0.100113292,0.019788605,0.010324886,0.030401759,0.02304729,0.049818751,0.078073715,2.332662214,2.444683502,2.485317522,1.063729033,1.10624209,1.048113389,0,0.007652056,0.045624545,0.028798805,0.044684631,0.040083869,0.034291349,0.038027419,0.041293144,0.007469272,0.007762234,0.014843772,0.034539774,0.027885781,0.016783521,0.015690642,0,0.029817416
PC [36:4],36,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.476764281,0.48665165,0.500819878,0.053871483,0.054853129,0.035217187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE [32:1],32,1,0.286062764,0.273600556,0.326363696,0.312256338,0.298014495,0.300905982,0.306042783,0.286849307,0.300685363,0.507920416,0.511736549,0.545904019,0.442749965,0.463561111,0.49096037,0.348098751,0.353606104,0.494526876,0.302381517,0.287505198,0.308640112,0.764814728,0.275758046,0.280865618,0.109530249,0.139493538,0.136223764,0.105351638,0.106481202,0.099703067,0.284492724,0.299042083,0.30570825,0.346501657,0.359919862,0.354293829,0.283551531,0.269687659,0.277464811,0.348629867,0.458201976,0.331762449,0.347211238,0.316063136,0.299873331,0.311167466,0.413349741,0.334211795
